Name,Dealer name,Mileage,Rating,Rating Count,Price in $
2012 Mercedes-Benz E-Class E 350,Best Price Car Dealer,"84,277 mi.",4.3,141 ,"14,499"
2019 Mercedes-Benz C-Class C 300,Koons Kia Owings Mills,"23,817 mi.",4.6,147 ,"43,499"
2018 Mercedes-Benz AMG C 63 S,Lawrence Motorsport,"12,285 mi.",5.0,2 ,"71,991"
2019 Mercedes-Benz GLS 450 Base 4MATIC,Shift San Francisco,"17,523 mi.",3.7,129 ,"61,950"
2020 Mercedes-Benz S-Class S 560 4MATIC,Mercedes-Benz of Catonsville,"14,254 mi.",4.1,376 ,"113,168"
2014 Mercedes-Benz GLK-Class GLK 350,AutoNation USA Katy,"47,868 mi.",4.3,159 ,"23,883"
2017 Mercedes-Benz AMG SLC 43 Base,Mercedes-Benz of Clearwater,"21,960 mi.",4.5,338 ,"50,934"
2019 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Asheville,"27,315 mi.",4.1,76 ,"58,675"
2013 Mercedes-Benz E-Class E 350 4MATIC,Drive Park Avenue - Atlantic City,"73,075 mi.",1.3,1 ,"18,495"
2020 Mercedes-Benz GLE 350 Base 4MATIC,Ultimo Motors East,"18,130 mi.",4.3,139 ,"73,900"
2017 Mercedes-Benz C-Class C 300,AutoNation Acura Stevens Creek,"45,213 mi.",4.7,810 ,"42,381"
2018 Mercedes-Benz C-Class C 300 4MATIC,Auto Buying Service,"25,679 mi.",4.8,135 ,"26,444"
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz of Fort Mitchell,"47,667 mi.",4.9,320 ,"42,780"
2017 Mercedes-Benz GLS 450 Base 4MATIC,Shift San Francisco,"37,336 mi.",3.7,129 ,"48,450"
2018 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz of Pompano,"14,128 mi.",4.5,591 ,"105,889"
2013 Mercedes-Benz E-Class E 350 4MATIC,Eden Autos,"75,214 mi.",4.4,61 ,"19,900"
2014 Mercedes-Benz E-Class E 350,HGreg.com Doral,"71,828 mi.",4.4,"2,197 ","20,497"
2017 Mercedes-Benz C-Class C 300,North State Auto,"57,389 mi.",3.9,10 ,"34,500"
2015 Mercedes-Benz S-Class S 550 4MATIC,21 Century Auto Group,"52,873 mi.",4.4,"2,737 ","37,821"
2008 Mercedes-Benz CLK-Class CLK 350,Global Auto Outlet,"103,882 mi.",3.2,93 ,"8,596"
2018 Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz of Greenwich,"49,875 mi.",4.1,78 ,"84,995"
2019 Mercedes-Benz AMG G 63 Base,"Discovery Auto Center, LLC","14,182 mi.",3.7,78 ,"242,990"
2016 Mercedes-Benz AMG G AMG G 63 4MATIC,Mercedes-Benz of Naperville,"46,796 mi.",4.6,492 ,"118,000"
